Direccion,LATITUD,LONGITUD
"IQUIQUE, PEDRO PRADO, ORELLA",-20.2212841,-70.1348904
"IQUIQUE, AV. LA TIRANA, CALLE 6",-20.2307033,-70.1356692
"ALTO HOSPICIO, LOS GUINDALES, LOS AROMOS, 2490",-20.2652492,-70.1055102
"IQUIQUE, JUAN MARTINEZ, SARGENTO ALDEA",-20.2160713,-70.1451094
"PICA, CAMINO PRIVADO MINERA COLLAHUASI, 24",-20.9814192,-68.6379674
"IQUIQUE, THOMPSON, OSCAR BONILLA",-20.2154831,-70.1401029
"IQUIQUE, THOMPSON, VIVAR",-20.2148742,-70.1485661
"IQUIQUE, RAMIREZ, 1270",-20.2202073,-70.1494388
"IQUIQUE, RANCAGUA, CACHARPAYAS",-20.2350388,-70.1325303
"IQUIQUE, RAMIREZ, 1162",-20.2191755,-70.1493946
"IQUIQUE, ERRAZURIS, THOMPSON",-20.2152505,-70.1435156
"ALTO HOSPICIO, TILIVICHE, LOS AVELLANOS, 3290",-20.2725782,-70.1064197
"IQUIQUE, RAMIREZ, GOROSTIAGA",-20.2168749,-70.1494213
"IQUIQUE, 18 DE SEPTIEMBRE, LIBERTAD",-20.2307033,-70.1356692
"ALTO HOSPICIO, AV. LOS ALAMOS CON RAMON PEREZ OPAZO, 2500",-20.2740456,-70.1008643
"IQUIQUE, ARTURO PRAT, AEROPUERTO",-20.244478,-70.1410328
"IQUIQUE, TADEO HAENKE, GENARO GALLO",-20.2394749,-70.1403552
"IQUIQUE, la torre, 21 de mayo",-20.2307033,-70.1356692
"IQUIQUE, OSCAR BONILLA, DIEGO PORTALES",-20.2297964,-70.1422898
"ALTO HOSPICIO, AV. LOS CONODRES CON TARAPACA, 2380",-20.2758634,-70.0977978
"IQUIQUE, OHIGGINS, VIVAR",-20.218536,-70.1488892
"IQUIQUE, AVDA. CHIPANA",-20.2307033,-70.1356692
"IQUIQUE, AVDA. ARTURO PRAT",-20.2484469,-70.1381101
"IQUIQUE, OBISPO LABBE, MANUEL RODRIGUEZ",-20.2233179,-70.1505699
"ALTO HOSPICIO, AV. LOS CONDORES CON LA GRANJA, 3290",-20.2719484,-70.1029629
"ALTO HOSPICIO, AV. LAS AMERICAS CON CARMELA CARVAJAL, 2900",-20.2800542,-70.1007563
"ALTO HOSPICIO, PASAJE SAN FRANCISCO, 4151",-20.278689,-70.0910657
"IQUIQUE, gomez carreño",-20.2333352,-70.1324357
"IQUIQUE, avda. arturo prat",-20.2484469,-70.1381101
"ALTO HOSPICIO, AV. LAS AMERICAS, SANTA MARIA, 2390",-20.2686722,-70.1049169
"IQUIQUE, HEROES DE LA CONCEPCION, CESPEDES Y GONZALEZ",-20.2247382,-70.139754
"ALTO HOSPICIO, LOS MANZANOS CON LOS ALAMOS, 2590",-20.2686722,-70.1049169
"IQUIQUE, TADEO HAENKE, CERRO DRAGON",-20.2386682,-70.1296108
"IQUIQUE, LOS RIELES, ORELLA",-20.2208235,-70.1432206
"IQUIQUE, EMILIO RECABARREN, ARTURO PRAT",-20.23336,-70.14116
"ALTO HOSPICIO, AV. LAS AMERICAS CON PAULA JARAQUEMADA, 2890",-20.2828255,-70.1020691
"ALTO HOSPICIO, AV. LOS ALAMOS CON LOS NOGALES, 3200",-20.2662507,-70.1025442
"IQUIQUE, HEROES DE LA CONCEPCION, DIEGO PORTALES",-20.2300539,-70.1409672
"ALTO HOSPICIO, SANTA ROSA, AV. LA PAMPA, 2900",-20.2718522,-70.1029147
"IQUIQUE, PEDRO PRADO, 2520",-20.2355547,-70.1363476
"IQUIQUE, OHHIGGINS, OBISPO LABBE",-20.2184392,-70.1503783
"IQUIQUE, VIVAR, SARGENTE ALDEA",-20.2159485,-70.1486532
"IQUIQUE, DIEGO PORTALES, AVENIDA  PRAT",-20.2307033,-70.1356692
"IQUIQUE, PROGRESO, 1926",-20.2272577,-70.1321482
"IQUIQUE, 18 dfe septiembre, diego portales",-20.2306665,-70.1371297
"IQUIQUE, FARNCISCO BILBAO, BALMACEDA",-20.2653785,-70.126922
"ALTO HOSPICIO, LOS NOGALES, 3100",-20.2669704,-70.0993167
"PICA, CALLE SIMON BOLIVAR CON PARRACP FREDERICH, 1",,
